feature,importance,fold
AMT_ANNUITY,12608.309426546097,1
AMT_CREDIT,4211.289359331131,1
AMT_GOODS_PRICE,6108.108215808868,1
CODE_GENDER,7349.312357187271,1
DAYS_BIRTH,14698.091846704483,1
DAYS_EMPLOYED,13973.543653964996,1
DAYS_ID_PUBLISH,6970.214883804321,1
DAYS_REGISTRATION,5410.217460393906,1
EXT_SOURCE_1,8521.324347496033,1
EXT_SOURCE_2,7387.615557432175,1
EXT_SOURCE_3,12005.69830441475,1
OWN_CAR_AGE,4833.356588602066,1
NEW_CREDIT_TO_ANNUITY_RATIO,30126.747210264206,1
NEW_CREDIT_TO_GOODS_RATIO,20648.665094852448,1
NEW_CREDIT_TO_INCOME,5371.392939329147,1
NEW_EMPLOY_TO_BIRTH_RATIO,8408.150795459747,1
NEW_SOURCES_PROD_12,6769.005750656128,1
NEW_SOURCES_PROD_23,23495.444561719894,1
NEW_SOURCES_PROD_13,6010.8141050338745,1
NEW_EXT_SOURCES_MEAN,232415.96904468536,1
NEW_CAR_TO_BIRTH_RATIO,5403.470580816269,1
NEW_PHONE_TO_BIRTH_RATIO,5540.952040433884,1
NAME_EDUCATION_TYPE_Higher education,6246.635314941406,1
ACTIVE_AMT_CREDIT_SUM_SUM,4585.355330705643,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,4222.333313941956,1
ACTIVE_ENDDATE_DIFF_MEAN,3767.412486553192,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,5201.571615695953,1
CLOSED_AMT_CREDIT_SUM_SUM,4449.897999286652,1
NEW_RATIO_BURO_AMT_CREDIT_SUM_SUM,4226.33097410202,1
BUREAU_SCORE,4301.981133699417,1
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,5397.9880928993225,1
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,6787.696841239929,1
PREV_APPR_CONSUME_AMT_ANNUITY_MEAN,4454.581604480743,1
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,9868.360484838486,1
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,6699.817084789276,1
PREV_CASH_SCORE,9707.851887226105,1
PREV_CONSUME_SCORE,4589.921212673187,1
POS_SK_DPD_MAX_MEAN,8509.607203245163,1
INSTAL_SCORE,4577.132696866989,1
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,4964.8176012039185,1
AMT_ANNUITY,13226.667998075485,2
AMT_CREDIT,4404.212210178375,2
AMT_GOODS_PRICE,6782.257299423218,2
CODE_GENDER,7806.549930334091,2
DAYS_BIRTH,13924.91739153862,2
DAYS_EMPLOYED,12919.099656581879,2
DAYS_ID_PUBLISH,6885.934944868088,2
DAYS_REGISTRATION,5766.956517457962,2
EXT_SOURCE_1,7867.28310585022,2
EXT_SOURCE_2,7960.007863998413,2
EXT_SOURCE_3,12203.130152463913,2
OWN_CAR_AGE,5297.6812381744385,2
NEW_CREDIT_TO_ANNUITY_RATIO,29513.25808405876,2
NEW_CREDIT_TO_GOODS_RATIO,21694.351185321808,2
NEW_CREDIT_TO_INCOME,5720.163152456284,2
NEW_EMPLOY_TO_BIRTH_RATIO,8203.506142139435,2
NEW_SOURCES_PROD_12,7408.570364236832,2
NEW_SOURCES_PROD_23,21738.447284460068,2
NEW_SOURCES_PROD_13,6338.400764942169,2
NEW_EXT_SOURCES_MEAN,239871.8790562153,2
NEW_CAR_TO_BIRTH_RATIO,4815.013114690781,2
NEW_PHONE_TO_BIRTH_RATIO,5089.664492845535,2
NAME_EDUCATION_TYPE_Higher education,5508.442537307739,2
