feature,importance,fold
AMT_ANNUITY,12778.84769654274,1
AMT_CREDIT,4591.055971860886,1
AMT_GOODS_PRICE,6797.888083457947,1
CODE_GENDER,7494.312942743301,1
DAYS_BIRTH,14802.892660617828,1
DAYS_EMPLOYED,14541.115203857422,1
DAYS_ID_PUBLISH,7396.839029073715,1
DAYS_REGISTRATION,6231.883239746094,1
EXT_SOURCE_1,8816.980655193329,1
EXT_SOURCE_2,8780.80328989029,1
EXT_SOURCE_3,12995.81827712059,1
OWN_CAR_AGE,5031.269199371338,1
NEW_CREDIT_TO_ANNUITY_RATIO,30595.23642539978,1
NEW_CREDIT_TO_GOODS_RATIO,20554.01083111763,1
NEW_CREDIT_TO_INCOME,5291.50191950798,1
NEW_EMPLOY_TO_BIRTH_RATIO,8936.530057430267,1
NEW_SOURCES_PROD_12,7365.715941429138,1
NEW_SOURCES_PROD_23,26220.737792253494,1
NEW_SOURCES_PROD_13,6317.63413143158,1
NEW_EXT_SOURCES_MEAN,229220.81890678406,1
NEW_CAR_TO_BIRTH_RATIO,5465.125913619995,1
NEW_PHONE_TO_BIRTH_RATIO,5127.650320053101,1
NAME_EDUCATION_TYPE_Higher education,5924.031272411346,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,4749.295562505722,1
BURO_CREDIT_TYPE_Microloan_MEAN,5066.596769332886,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,5256.266736745834,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,7600.713462591171,1
ACTIVE_AMT_CREDIT_SUM_MEAN,4964.541587352753,1
ACTIVE_AMT_CREDIT_SUM_SUM,4689.399665117264,1
CLOSED_AMT_CREDIT_SUM_SUM,4852.938973903656,1
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,6970.86768913269,1
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,6789.323500156403,1
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,6909.568818092346,1
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,10329.681137800217,1
POS_SK_DPD_DEF_MEAN,8211.560920000076,1
POS_COUNT,4839.980203866959,1
INSTAL_DBD_MEAN,4808.866812705994,1
INSTAL_DPD_DBD_RATIO,4886.131025791168,1
INSTAL_DPD_DBD_DIFF,5083.111674785614,1
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,5842.58237361908,1
AMT_ANNUITY,12548.276288509369,2
AMT_CREDIT,3925.6253077983856,2
AMT_GOODS_PRICE,6622.171286821365,2
CODE_GENDER,7767.3522181510925,2
DAYS_BIRTH,13227.892946958542,2
DAYS_EMPLOYED,12643.558777332306,2
DAYS_ID_PUBLISH,6029.381673574448,2
DAYS_REGISTRATION,4967.917236566544,2
EXT_SOURCE_1,7627.290354251862,2
EXT_SOURCE_2,8572.159494876862,2
EXT_SOURCE_3,11913.56141591072,2
OWN_CAR_AGE,4918.479236125946,2
NEW_CREDIT_TO_ANNUITY_RATIO,28787.923703193665,2
NEW_CREDIT_TO_GOODS_RATIO,20863.018902778625,2
NEW_CREDIT_TO_INCOME,4966.65861082077,2
NEW_EMPLOY_TO_BIRTH_RATIO,7390.512254476547,2
NEW_SOURCES_PROD_12,6891.553630590439,2
NEW_SOURCES_PROD_23,24985.823357582092,2
NEW_SOURCES_PROD_13,5538.724524974823,2
NEW_EXT_SOURCES_MEAN,234859.5732471943,2
NEW_CAR_TO_BIRTH_RATIO,4252.226731300354,2
NEW_PHONE_TO_BIRTH_RATIO,4282.100013256073,2
NAME_EDUCATION_TYPE_Higher education,5233.645710945129,2
BURO_DAYS_CREDIT_ENDDATE_MEAN,4358.826635122299,2
BURO_CREDIT_TYPE_Microloan_MEAN,5191.925827026367,2
BURO_AMT_CREDIT_SUM_DEBT_MEAN,4062.701539993286,2
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,6304.308578968048,2
ACTIVE_AMT_CREDIT_SUM_MEAN,3970.808559656143,2
ACTIVE_AMT_CREDIT_SUM_SUM,4364.345528841019,2
CLOSED_AMT_CREDIT_SUM_SUM,4363.796723365784,2
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,6129.056228160858,2
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,3931.4080283641815,2
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,5767.117561817169,2
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,12077.208107471466,2
POS_SK_DPD_DEF_MEAN,8427.295576572418,2
POS_COUNT,4491.882426738739,2
INSTAL_DBD_MEAN,3913.5562953948975,2
INSTAL_DPD_DBD_RATIO,3514.017525434494,2
INSTAL_DPD_DBD_DIFF,5356.325298070908,2
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,6011.313497304916,2
AMT_ANNUITY,12837.083661317825,3
AMT_CREDIT,5071.032498836517,3
AMT_GOODS_PRICE,6631.106090068817,3
CODE_GENDER,7770.038601875305,3
DAYS_BIRTH,15957.277231931686,3
DAYS_EMPLOYED,15127.532006025314,3
DAYS_ID_PUBLISH,6346.456604719162,3
DAYS_REGISTRATION,5923.278467178345,3
EXT_SOURCE_1,8795.196402072906,3
EXT_SOURCE_2,9512.76822757721,3
EXT_SOURCE_3,13552.943658351898,3
OWN_CAR_AGE,4584.71719121933,3
NEW_CREDIT_TO_ANNUITY_RATIO,30863.537410974503,3
NEW_CREDIT_TO_GOODS_RATIO,22192.844472885132,3
NEW_CREDIT_TO_INCOME,5965.334545373917,3
NEW_EMPLOY_TO_BIRTH_RATIO,9008.407714128494,3
NEW_SOURCES_PROD_12,8396.11249089241,3
NEW_SOURCES_PROD_23,25558.12184524536,3
NEW_SOURCES_PROD_13,6098.710690975189,3
NEW_EXT_SOURCES_MEAN,236427.3022789955,3
NEW_CAR_TO_BIRTH_RATIO,5074.047396659851,3
NEW_PHONE_TO_BIRTH_RATIO,5829.590886592865,3
NAME_EDUCATION_TYPE_Higher education,6416.32426738739,3
BURO_DAYS_CREDIT_ENDDATE_MEAN,5438.887361049652,3
BURO_CREDIT_TYPE_Microloan_MEAN,4740.435769081116,3
BURO_AMT_CREDIT_SUM_DEBT_MEAN,5476.176107406616,3
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,6339.350645780563,3
ACTIVE_AMT_CREDIT_SUM_MEAN,4844.6582903862,3
ACTIVE_AMT_CREDIT_SUM_SUM,4920.390273809433,3
CLOSED_AMT_CREDIT_SUM_SUM,4472.508670330048,3
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,6877.4577004909515,3
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,5255.825583934784,3
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,6305.122264623642,3
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,11614.198585033417,3
POS_SK_DPD_DEF_MEAN,8891.001952648163,3
POS_COUNT,5132.855756998062,3
INSTAL_DBD_MEAN,4902.142623662949,3
INSTAL_DPD_DBD_RATIO,4272.840917110443,3
INSTAL_DPD_DBD_DIFF,5016.4560034275055,3
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,6594.563169002533,3
AMT_ANNUITY,13385.481047153473,4
AMT_CREDIT,4832.629117012024,4
AMT_GOODS_PRICE,7469.708635807037,4
CODE_GENDER,7954.772175312042,4
DAYS_BIRTH,15389.494284152985,4
DAYS_EMPLOYED,14447.250875234604,4
DAYS_ID_PUBLISH,6924.365890741348,4
DAYS_REGISTRATION,6443.485462188721,4
EXT_SOURCE_1,8796.044580698013,4
EXT_SOURCE_2,9443.038974285126,4
EXT_SOURCE_3,13912.432974100113,4
OWN_CAR_AGE,5596.685338258743,4
NEW_CREDIT_TO_ANNUITY_RATIO,32247.93988585472,4
NEW_CREDIT_TO_GOODS_RATIO,20663.766869544983,4
NEW_CREDIT_TO_INCOME,6087.035676717758,4
NEW_EMPLOY_TO_BIRTH_RATIO,9473.697362184525,4
NEW_SOURCES_PROD_12,7937.660931348801,4
NEW_SOURCES_PROD_23,24471.62863469124,4
NEW_SOURCES_PROD_13,5069.652819156647,4
NEW_EXT_SOURCES_MEAN,235652.65954995155,4
NEW_CAR_TO_BIRTH_RATIO,3988.5059866905212,4
NEW_PHONE_TO_BIRTH_RATIO,5231.957457542419,4
NAME_EDUCATION_TYPE_Higher education,6255.6652183532715,4
BURO_DAYS_CREDIT_ENDDATE_MEAN,4805.192818403244,4
BURO_CREDIT_TYPE_Microloan_MEAN,5789.378791093826,4
BURO_AMT_CREDIT_SUM_DEBT_MEAN,4591.080631017685,4
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,6763.121935367584,4
ACTIVE_AMT_CREDIT_SUM_MEAN,4945.189737558365,4
ACTIVE_AMT_CREDIT_SUM_SUM,4898.833428621292,4
CLOSED_AMT_CREDIT_SUM_SUM,5492.258707284927,4
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,8683.690719127655,4
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,5553.84455871582,4
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,6027.384897470474,4
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,11317.95624756813,4
POS_SK_DPD_DEF_MEAN,7542.2869992256165,4
POS_COUNT,4149.151407957077,4
INSTAL_DBD_MEAN,4337.881845474243,4
INSTAL_DPD_DBD_RATIO,5076.842825889587,4
INSTAL_DPD_DBD_DIFF,5947.988602638245,4
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,6157.564151763916,4
AMT_ANNUITY,11816.221361160278,5
AMT_CREDIT,4404.3514013290405,5
AMT_GOODS_PRICE,6781.766452550888,5
CODE_GENDER,7308.43695640564,5
DAYS_BIRTH,14126.30012845993,5
DAYS_EMPLOYED,13876.643141746521,5
DAYS_ID_PUBLISH,5553.590981960297,5
DAYS_REGISTRATION,4641.396099805832,5
EXT_SOURCE_1,8403.556452512741,5
EXT_SOURCE_2,8472.968213319778,5
EXT_SOURCE_3,12310.722866296768,5
OWN_CAR_AGE,5182.478329658508,5
NEW_CREDIT_TO_ANNUITY_RATIO,27885.54102373123,5
NEW_CREDIT_TO_GOODS_RATIO,19386.909864902496,5
NEW_CREDIT_TO_INCOME,5030.334152460098,5
NEW_EMPLOY_TO_BIRTH_RATIO,7852.466172218323,5
NEW_SOURCES_PROD_12,7609.4023513793945,5
NEW_SOURCES_PROD_23,25874.839532136917,5
NEW_SOURCES_PROD_13,4054.8952565193176,5
NEW_EXT_SOURCES_MEAN,235194.94379401207,5
NEW_CAR_TO_BIRTH_RATIO,4506.123262643814,5
NEW_PHONE_TO_BIRTH_RATIO,4189.254423618317,5
NAME_EDUCATION_TYPE_Higher education,5514.891941547394,5
BURO_DAYS_CREDIT_ENDDATE_MEAN,3938.242394924164,5
BURO_CREDIT_TYPE_Microloan_MEAN,5776.157072544098,5
BURO_AMT_CREDIT_SUM_DEBT_MEAN,3775.912001132965,5
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,6278.077892541885,5
ACTIVE_AMT_CREDIT_SUM_MEAN,4205.948976516724,5
ACTIVE_AMT_CREDIT_SUM_SUM,3370.5556869506836,5
CLOSED_AMT_CREDIT_SUM_SUM,3769.3304436206818,5
PREV_APPR_CASH_DAYS_LAST_DUE_1ST_VERSION_DIFF_MEAN,7593.249880552292,5
PREV_APPR_CONSUME_AMT_APPLICATION_SUM,5241.296559333801,5
PREV_APPR_CONSUME_RATE_DOWN_PAYMENT_MAX,5494.4054889678955,5
PREV_APPR_CONSUME_AMT_ANNUITY_SUM,11464.15031671524,5
POS_SK_DPD_DEF_MEAN,8308.793195724487,5
POS_COUNT,4154.908162593842,5
INSTAL_DBD_MEAN,3803.080979347229,5
INSTAL_DPD_DBD_RATIO,4204.536351680756,5
INSTAL_DPD_DBD_DIFF,4762.8235495090485,5
CC_RAW_AMT_DRAWINGS_CURRENT_MEAN,5276.970387935638,5
