feature,importance,fold
AMT_ANNUITY,12608.309426546097,1
AMT_CREDIT,4211.289359331131,1
AMT_GOODS_PRICE,6108.108215808868,1
AMT_INCOME_TOTAL,3094.764857530594,1
CODE_GENDER,7349.312357187271,1
DAYS_BIRTH,14698.091846704483,1
DAYS_EMPLOYED,13973.543653964996,1
DAYS_ID_PUBLISH,6970.214883804321,1
DAYS_REGISTRATION,5410.217460393906,1
DEF_30_CNT_SOCIAL_CIRCLE,520.2586660385132,1
DEF_60_CNT_SOCIAL_CIRCLE,255.4282193183899,1
EXT_SOURCE_1,8521.324347496033,1
EXT_SOURCE_2,7387.615557432175,1
EXT_SOURCE_3,12005.69830441475,1
FLAG_OWN_REALTY,115.98121929168701,1
OBS_30_CNT_SOCIAL_CIRCLE,712.3604519367218,1
OBS_60_CNT_SOCIAL_CIRCLE,669.1275787353516,1
OWN_CAR_AGE,4833.356588602066,1
REQ_CNT,643.4599266052246,1
NEW_CREDIT_TO_ANNUITY_RATIO,30126.747210264206,1
NEW_CREDIT_TO_GOODS_RATIO,20648.665094852448,1
NEW_CREDIT_TO_INCOME,5371.392939329147,1
NEW_EMPLOY_TO_BIRTH_RATIO,8408.150795459747,1
NEW_SOURCES_PROD_12,6769.005750656128,1
NEW_SOURCES_PROD_23,23495.444561719894,1
NEW_SOURCES_PROD_13,6010.8141050338745,1
NEW_EXT_SOURCES_MEAN,232415.96904468536,1
NEW_SCORES_STD,2887.2625052928925,1
NEW_CAR_TO_BIRTH_RATIO,5403.470580816269,1
NEW_PHONE_TO_BIRTH_RATIO,5540.952040433884,1
DEF_TO_OBS_30_RATIO,2139.6129355430603,1
DEF_TO_OBS_60_RATIO,954.5155875682831,1
NAME_CONTRACT_TYPE_Cash loans,1755.930742740631,1
NAME_CONTRACT_TYPE_Revolving loans,10.56047010421753,1
NAME_EDUCATION_TYPE_Higher education,6246.635314941406,1
NAME_EDUCATION_TYPE_Incomplete higher,112.12994003295898,1
NAME_EDUCATION_TYPE_Lower secondary,207.30110120773315,1
NAME_EDUCATION_TYPE_Secondary / secondary special,2889.5240755081177,1
NAME_INCOME_TYPE_Commercial associate,132.4789273738861,1
NAME_INCOME_TYPE_State servant,1417.7577366828918,1
NAME_INCOME_TYPE_Working,1667.2120804786682,1
BURO_DPD_SCORE_MEAN,1899.791919708252,1
BURO_CREDIT_TYPE_Credit card_MEAN,2695.6445450782776,1
BURO_CREDIT_TYPE_Consumer credit_MEAN,174.17966032028198,1
BURO_CREDIT_ACTIVE_Active_MEAN,1586.332106590271,1
BURO_ENDDATE_DIFF_MEAN,2944.2449123859406,1
BURO_ENDDATE_FACT_DIFF_MEAN,2874.6300048828125,1
BURO_CREDIT_ACTIVE_Closed_MEAN,3210.249994277954,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,4151.918181180954,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,3716.291184425354,1
BURO_CREDIT_ACTIVE_Sold_MEAN,167.31813955307007,1
ACTIVE_DPD_SCORE_MEAN,1176.2374505996704,1
ACTIVE_AMT_CREDIT_SUM_MAX,4013.566458940506,1
ACTIVE_AMT_CREDIT_SUM_MEAN,3821.994063615799,1
ACTIVE_AMT_CREDIT_SUM_SUM,4585.355330705643,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,2415.3031599521637,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,1125.4128482341766,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,4222.333313941956,1
ACTIVE_ENDDATE_DIFF_MEAN,3767.412486553192,1
